key_lo;ma_lo;nam_trong;diem_giao_nhan;lat_long;chung_nhan;doi;dien_tich;giong_cao_su;polygon;phien_a;phien_b;phien_c;phien_d
id349;S13;2012;N;12.555752, 105.531969;PEFC CS;12;15,32;RRIV 124;12.553531,105.530038 12.553538,105.533665 12.553547,105.533868 12.553648,105.533906 12.55385,105.533833 12.553966,105.53383 12.554084,105.533833 12.554188,105.53378 12.554306,105.533706 12.554482,105.533579 12.554617,105.533477 12.55475,105.533409 12.554859,105.533409 12.554956,105.533344 12.55505,105.533357 12.555174,105.533374 12.555274,105.533337 12.555365,105.533162 12.555482,105.53312 12.555605,105.533077 12.555651,105.53299 12.55575,105.532831 12.555846,105.532764 12.555949,105.532642 12.555949,105.532637 12.556048,105.532559 12.556134,105.532458 12.556224,105.532404 12.556302,105.532397 12.556412,105.532426 12.556505,105.532465 12.556644,105.532461 12.556719,105.532407 12.556829,105.532341 12.556949,105.532345 12.557024,105.532253 12.557071,105.532145 12.557197,105.532127 12.557325,105.532095 12.557437,105.532073 12.557508,105.532026 12.557579,105.531957 12.557665,105.531928 12.557725,105.53194 12.557827,105.531978 12.557888,105.531938 12.557965,105.53187 12.557972,105.530031 12.553531,105.530038;0;0;0;0
id350;S14;2012;N;12.555725, 105.53761;PEFC CS;12;13,47;RRIV 114;12.557946,105.539137 12.557932,105.538553 12.557877,105.538366 12.55781,105.538108 12.557738,105.538018 12.557686,105.537645 12.557624,105.536896 12.557565,105.536185 12.557505,105.536084 12.557429,105.536102 12.557407,105.536128 12.557294,105.536145 12.557217,105.536183 12.557169,105.536267 12.557098,105.536235 12.556988,105.536187 12.556905,105.536175 12.556814,105.536216 12.55672,105.536197 12.556662,105.536181 12.556608,105.536184 12.556517,105.536265 12.556418,105.536271 12.556277,105.536285 12.556144,105.536264 12.555981,105.536309 12.555882,105.536363 12.555795,105.53644 12.555689,105.536497 12.555446,105.536514 12.555315,105.536597 12.555211,105.536626 12.555112,105.536643 12.555025,105.536645 12.554856,105.536674 12.554646,105.536683 12.554525,105.536736 12.554414,105.536784 12.554282,105.536792 12.554175,105.536817 12.554077,105.536871 12.553972,105.536868 12.553841,105.536849 12.553766,105.536864 12.553706,105.536877 12.553635,105.536839 12.553556,105.536915 12.55352,105.537019 12.553517,105.537129 12.553505,105.539117 12.557946,105.539137;0;0;0;0
id351;S15;2011;Y;12.555721, 105.541486;PEFC CS;12;24,2;PB 260;12.553506,105.539225 12.553492,105.543732 12.557938,105.543747 12.55795,105.539231 12.553506,105.539225;R15,R16,S14,S15,S16,T14,T15,T16;0;0;R15,R16,S15,S16
id352;S16;2011;N;12.555707, 105.546082;PEFC CS;12;24,2;RRIC 121;12.553491,105.543835 12.553485,105.548316 12.557929,105.548342 12.557928,105.543821 12.553491,105.543835;0;0;0;0
id353;S2;2012;N;12.555888, 105.481699;PEFC CS;9;24,2;RRIV 124;12.554018,105.479448 12.553878,105.479519 12.553791,105.479607 12.553766,105.479686 12.55372,105.479783 12.55368,105.479886 12.553652,105.483965 12.558099,105.483964 12.558124,105.479433 12.554018,105.479448;0;0;0;0
id354;S3;2012;N;12.555865, 105.486304;PEFC CS;9;24,2;RRIV 124;12.553636,105.484046 12.553668,105.488563 12.558085,105.488561 12.558094,105.484052 12.553636,105.484046;0;0;0;0
id355;S4;2013;N;12.555824, 105.490906;PEFC CS;10;14,91;RRIV 124;12.553729,105.488625 12.553544,105.488621 12.553563,105.488699 12.553645,105.488744 12.553724,105.48881 12.553768,105.488843 12.55383,105.488874 12.553916,105.488924 12.553962,105.489022 12.554078,105.4891 12.554144,105.489173 12.554187,105.489207 12.554189,105.489209 12.554253,105.489243 12.554306,105.489294 12.554364,105.489375 12.554411,105.489437 12.554506,105.489476 12.554527,105.489546 12.554531,105.489624 12.554537,105.489683 12.554549,105.489746 12.554585,105.489833 12.554658,105.489904 12.554731,105.489958 12.554831,105.490049 12.554927,105.490146 12.554989,105.490227 12.555058,105.490333 12.555134,105.490423 12.555217,105.490529 12.555334,105.490617 12.555455,105.490709 12.55566,105.490763 12.555737,105.490833 12.555842,105.490932 12.555889,105.491083 12.555838,105.491279 12.555887,105.491394 12.555951,105.491529 12.555933,105.491653 12.555989,105.491724 12.556091,105.491808 12.556112,105.491938 12.556119,105.492069 12.556168,105.4922 12.556283,105.492285 12.556344,105.492362 12.556427,105.492457 12.556419,105.492526 12.55638,105.492626 12.556347,105.492732 12.556371,105.492835 12.556435,105.492943 12.556442,105.493041 12.556425,105.493147 12.556645,105.493191 12.558104,105.493187 12.558091,105.488634 12.553729,105.488625;0;0;0;0
id356;S5S;2013;N;12.557329, 105.494932;PEFC CS;10;3,84;RRIV 124;12.556592,105.493261 12.556548,105.493387 12.556588,105.493433 12.556595,105.493574 12.556646,105.493649 12.556642,105.493757 12.556663,105.493836 12.556708,105.493908 12.556762,105.49397 12.556808,105.49404 12.556811,105.494147 12.55685,105.494192 12.556902,105.494263 12.556945,105.494354 12.556972,105.494407 12.556971,105.494489 12.556947,105.494592 12.556919,105.494732 12.556947,105.494806 12.557022,105.494849 12.557044,105.494976 12.557072,105.495074 12.557105,105.49518 12.557157,105.495305 12.557221,105.495399 12.557263,105.495483 12.557334,105.495521 12.557387,105.495576 12.557436,105.495687 12.557474,105.495764 12.55753,105.495854 12.557582,105.495926 12.557618,105.49596 12.557671,105.496016 12.557721,105.49609 12.557757,105.496164 12.557796,105.496203 12.557828,105.496227 12.557842,105.496283 12.557877,105.496332 12.557913,105.49637 12.557935,105.496422 12.557972,105.496489 12.557997,105.49656 12.558027,105.49661 12.55808,105.49661 12.558111,105.493255 12.556592,105.493261;0;0;0;0
id357;S5T;2012;N;12.554862, 105.495515;PEFC CS;11;10,7;RRIV 114;12.553638,105.497772 12.555931,105.497794 12.555899,105.497671 12.555901,105.497583 12.555927,105.497504 12.555992,105.497436 12.556051,105.497346 12.556081,105.49727 12.556087,105.497163 12.556104,105.497039 12.556109,105.496966 12.556081,105.496931 12.556026,105.49689 12.555975,105.496834 12.555907,105.496805 12.555879,105.496737 12.555838,105.496664 12.555825,105.496557 12.555824,105.496487 12.555805,105.496399 12.555797,105.496265 12.555791,105.496102 12.555801,105.495934 12.555798,105.495788 12.555806,105.495654 12.555825,105.495545 12.555767,105.495443 12.555715,105.495335 12.555691,105.495219 12.555662,105.495056 12.55563,105.494862 12.555529,105.49449 12.555482,105.494397 12.555464,105.494216 12.555397,105.49413 12.555305,105.494088 12.555181,105.493993 12.555114,105.49392 12.554971,105.493941 12.554855,105.493941 12.554776,105.493931 12.554669,105.493893 12.554571,105.493844 12.5545,105.493747 12.554426,105.493689 12.554387,105.493366 12.554284,105.493324 12.554028,105.493292 12.553795,105.493235 12.553729,105.493245 12.553674,105.493267 12.553615,105.493281 12.553638,105.497772;0;0;0;0
id358;S6;2012;N;12.555293, 105.500132;PEFC CS;11;15,01;RRIM 600;12.553664,105.502357 12.555703,105.502389 12.555992,105.502396 12.556328,105.502389 12.556859,105.502389 12.556946,105.502133 12.556931,105.501979 12.556852,105.501884 12.556828,105.501789 12.556864,105.50168 12.556872,105.501577 12.55683,105.501436 12.556802,105.501284 12.556693,105.501177 12.556704,105.501103 12.556676,105.501007 12.556634,105.500933 12.556658,105.500816 12.55666,105.500657 12.556647,105.500538 12.556621,105.5004 12.556546,105.500204 12.556583,105.500035 12.556563,105.499952 12.556493,105.499879 12.556366,105.499808 12.556219,105.499787 12.556197,105.499688 12.556185,105.499377 12.55609,105.499234 12.555909,105.499247 12.5558,105.499251 12.555663,105.499267 12.555573,105.499282 12.555499,105.499305 12.555437,105.499376 12.555392,105.49936 12.555391,105.499295 12.555424,105.499197 12.555483,105.499148 12.555667,105.499109 12.555835,105.499089 12.55598,105.499069 12.556094,105.499057 12.556081,105.498959 12.556033,105.498664 12.55602,105.498229 12.556035,105.497869 12.553641,105.497881 12.553664,105.502357;0;0;0;0
id359;S8;2012;N;12.555242, 105.509308;PEFC CS;11;16,31;RRIV 124;12.55363,105.507058 12.553602,105.511558 12.555779,105.511551 12.555939,105.511525 12.556028,105.51149 12.556082,105.511439 12.556145,105.511373 12.556168,105.511284 12.556188,105.511161 12.556235,105.510943 12.556251,105.510817 12.556294,105.51061 12.556294,105.51061 12.556294,105.51061 12.556294,105.51061 12.55638,105.51044 12.556552,105.510252 12.556593,105.510141 12.556697,105.51006 12.556815,105.510007 12.556857,105.509909 12.556883,105.509107 12.556853,105.508969 12.556815,105.508843 12.556778,105.508651 12.556757,105.508493 12.556759,105.508313 12.556757,105.50814 12.556727,105.508095 12.556617,105.508023 12.556583,105.507933 12.55658,105.507823 12.556582,105.507685 12.556575,105.507526 12.556592,105.507419 12.556599,105.507297 12.556603,105.507182 12.556566,105.50708 12.55363,105.507058;0;0;0;0
id360;S9;2012;N;12.554708, 105.51392;PEFC CS;11;12,11;GT 1;12.553608,105.511653 12.553591,105.516157 12.555504,105.516203 12.555646,105.516187 12.555713,105.5161 12.55578,105.516023 12.555826,105.511637 12.553608,105.511653;0;0;0;0
