category_id;code;name;unit;factory_id;specification;default_warehouse_ids;manages_lot;manages_expiry;min_stock;max_stock;opening_stock;image_url;equipment_name;is_active;created_at;updated_at
Thiết bị điện;Nút bấm khởi động;Nút bấm khởi động;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;12;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Nút bấm dừng;Nút bấm dừng;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;10;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Nút bấm chạy ngược;Nút bấm chạy ngược;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;8;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Đèn báo pha xanh;Đèn báo pha xanh;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;7;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Đèn báo pha đỏ;Đèn báo pha đỏ;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;7;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Đèn báo pha vàng;Đèn báo pha vàng;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;12;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Máy say sinh tố;Máy say sinh tố;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;4;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Lò vi sóng;Lò vi sóng;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;4;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Ống gân mềm phi 60;Ống gân mềm phi 60;mét;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;20;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Bánh răng 28R trục cán 510;Bánh răng 28R trục cán 510;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Bánh răng 35R trục cán 510;Bánh răng 35R trục cán 510;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Đầu đốt RL 130;Đầu đốt RL 130;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư xe vận chuyển;Vỏ xe-ruột-yếm-vành;Vỏ xe-ruột-yếm-vành;bộ;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Dao băm (máy băm thô/băm tinh);Dao băm (máy băm thô/băm tinh);con;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Dao tĩnh máy cắt miếng 16 dao;Dao tĩnh máy cắt miếng 16 dao;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;5;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Nhông 15R f50 x f132 trục tiếp liệu;Nhông 15R f50 x f132 trục tiếp liệu;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;4;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Nhông 18R f60 x f317 (trục đẩy thùng);Nhông 18R f60 x f317 (trục đẩy thùng);cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Nhông 22R f110 x f280 (khớp nối hs tiếp liệu);Nhông 22R f110 x f280 (khớp nối hs tiếp liệu);cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;3;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Nhông 22R f110 x f380 (khớp nối hsMC 510);Nhông 22R f110 x f380 (khớp nối hsMC 510);cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;6;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Nhông 22R f120 x f380 (khớp nối hsMC 510);Nhông 22R f120 x f380 (khớp nối hsMC 510);cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Nhông 22R f130 x f380 (khớp nối trục cán 510);Nhông 22R f130 x f380 (khớp nối trục cán 510);cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;4;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Nhông 28R f75 x f300 (MC 3 trục);Nhông 28R f75 x f300 (MC 3 trục);cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Nhông khớp nối máy ép kiện;Nhông khớp nối máy ép kiện;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Vít me máy cán 510;Vít me máy cán 510;bộ;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;5;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Cụm tạo rung;Cụm tạo rung;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
